prompt,word1,probability1,word2,probability2,word3,probability3,word4,probability4,word5,probability5,word6,probability6,word7,probability7,word8,probability8,word9,probability9,word10,probability10
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see a book, I classify it as",H,0.6405683755874634,L,0.18906645476818085,a,0.11009161174297333,high,0.008456062525510788,low,0.007995253428816795,an,0.005710169672966003,either,0.0023721968755126,BOOK,0.002158620860427618,VAL,0.0021022935397922993,"""",0.0014813411980867386
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see a rug, I classify it as",H,0.5920870900154114,L,0.20688468217849731,a,0.11532263457775116,high,0.01334582082927227,low,0.00879692193120718,an,0.004713956732302904,VAL,0.0042309025302529335,either,0.00412536459043622,rug,0.002743849530816078,R,0.0020698581356555223
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see a crayon, I classify it as",H,0.4396481513977051,L,0.3249814808368683,a,0.1454678624868393,low,0.022434096783399582,high,0.010832684114575386,an,0.005638858303427696,VAL,0.0023128455504775047,CR,0.002087145810946822,either,0.001971376361325383,both,0.0013544019311666489
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see a clump of dust, I classify it as",H,0.2704079747200012,L,0.20358750224113464,a,0.17852731049060822,either,0.01827342063188553,high,0.015297510661184788,an,0.01405110489577055,D,0.014008226804435253,CL,0.013370347209274769,low,0.01092842873185873,dust,0.00930632185190916
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see a sock, I classify it as",L,0.4801533818244934,H,0.3185163140296936,a,0.13388653099536896,low,0.02449556440114975,high,0.005188092589378357,an,0.004893033299595118,VAL,0.001944013754837215,either,0.0017835642211139202,Low,0.001391010358929634,"""",0.00102913286536932
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see knitting needles, I classify it as",H,0.5266146659851074,L,0.31725478172302246,a,0.09810985624790192,low,0.01368509978055954,high,0.011166630312800407,an,0.0030060531571507454,KN,0.0026187486946582794,VAL,0.0016084935050457716,High,0.0012862071162089705,"""",0.0012273419415578246
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see a sewing machine, I classify it as",H,0.5825406312942505,L,0.23258519172668457,a,0.1300114542245865,high,0.010435755364596844,low,0.00849312637001276,an,0.00667476374655962,VAL,0.0016058152541518211,High,0.0010896557942032814,"""",0.0010592823382467031,both,0.00096530606970191
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see a games console, I classify it as",H,0.5871783494949341,L,0.23579812049865723,a,0.12499023973941803,low,0.011416140012443066,high,0.010150084272027016,an,0.004761735908687115,VAL,0.0014501824043691158,High,0.0009603924117982388,both,0.0009112600819207728,Low,0.0007785293855704367
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see a football, I classify it as",H,0.5139200091362,L,0.28442269563674927,a,0.14217127859592438,low,0.01210345234721899,high,0.008864747360348701,an,0.004799424670636654,football,0.0027561828028410673,"""",0.0012555535649880767,the,0.0011379353236407042,both,0.0010849586687982082
"I am a household cleaning robot. When I see an object, I can classify it as HIGH VALUE or LOW VALUE. I will take more care when cleaning HIGH VALUE objects than LOW VALUE. When I see a dreamcatcher, I classify it as",H,0.5267648696899414,L,0.270995557308197,a,0.1400805413722992,low,0.013342213816940784,high,0.012082374654710293,an,0.00787363387644291,VAL,0.0024348078295588493,High,0.0013264371082186699,both,0.001124239875935018,"""",0.0010679904371500015
